"filename", "language", "Python", "CMakeCache", "CMake", "JSON", "C++", "C", "Log", "Makefile", "JSON with Comments", "Markdown", "Docker", "comment", "blank", "total"
"/home/yuan/esp/tcp/build/esp-idf/esp_system/port/cmake_install.cmake", "CMake", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"/home/yuan/esp/tcp/build/esp-idf/esp_system/port/soc/esp32s3/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_timer/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_websocket_client/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_wifi/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/espcoredump/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esptool_py/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/expat/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/fatfs/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/freemodbus/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/freertos/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/gpio_ctrl/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/hal/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/heap/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/idf_test/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/ieee802154/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/jsmn/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/json/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/led_strip/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/libsodium/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/log/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/lwip/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/main/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/mbedtls/cmake_install.cmake", "CMake", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"/home/yuan/esp/tcp/build/esp-idf/mbedtls/mbedtls/3rdparty/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/mbedtls/mbedtls/cmake_install.cmake", "CMake", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 48
"/home/yuan/esp/tcp/build/esp-idf/mbedtls/mbedtls/include/cmake_install.cmake", "CMake", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 146
"/home/yuan/esp/tcp/build/esp-idf/mbedtls/mbedtls/library/cmake_install.cmake", "CMake", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 52
"/home/yuan/esp/tcp/build/esp-idf/mdns/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/mqtt/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
